id;playtime;listing_list;score;time;user_id
1;Mexican Peso Mexican Unidad de Inversion (UDI) bypassing Rustic;Auto Loan Account hybrid ROI;70715;2020-04-03T13:09:01;2
2;Bedfordshire Bangladesh;Berkshire Money Market Account architectures;10541;2020-04-03T05:33:37;1
3;copying;Global whiteboard grow;71455;2020-04-03T01:27:50;1
4;compress;Plastic;24482;2020-04-03T06:56:20;1
5;support Gourde US Dollar;Vermont;52513;2020-04-03T05:28:27;1
6;Lithuanian Litas;Accounts;35599;2020-04-03T08:32:20;1
7;Granite;Summit Zloty Common;84147;2020-04-02T19:58:59;2
8;Specialist;bypassing generating;57236;2020-04-03T10:33:02;1
9;Frozen International parsing;transparent synthesize world-class;9771;2020-04-03T09:44:14;2
10;Fantastic local area network;Total Public-key;81792;2020-04-02T19:19:20;1
