id;zpid;street;city;state;zip_code;zestimate;address;longitude;latitude
1;87495;Tre Plain;Port Reilly;copying;69566;21125;63846;56758;79341
2;93204;Padberg Loaf;East Frankie;Pound Sterling Nepalese Rupee;49978;3906;73558;34840;33947
3;98362;Pollich Island;Sebastianmouth;ADP;55693;44981;16977;73353;62216
4;69821;Roger Divide;New Cobymouth;Ergonomic North Dakota;24185;90204;1557;74326;62133
5;79677;Lind Prairie;North Vincentborough;Compatible synthesizing Music;49066;30148;95828;75239;65212
6;79724;Trycia Extensions;East Emoryfort;niches;1040;28937;49749;26948;11769
7;94414;Lesch Avenue;East Marleneton;whiteboard;32066;52157;25887;79144;54963
8;90324;Runte Trace;Adonishaven;Operations e-markets Auto Loan Account;76853;49682;93990;4082;24976
9;42747;Christophe Glens;Stantonchester;leading-edge synthesize;27596;51058;34131;389;90752
10;99542;Chanelle Rest;West Morganland;Dynamic Congolese Franc Gloves;51354;63018;98326;28977;88505
